ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
3895,7-12 months,DWC,Reactivated,89,55.44,247.42,16625,0.7571,HDM,NO,HDZ,NO
3896,7-12 months,DWC,Recurrent,262,130.35,259.79,50578,0.7741,HDM,NO,HDZ,NO
3897,1 -2 months,DWC,Recurrent,2,0.84,69.5,133,0.4454,HDM,NO,LDZ,YES
3898,1 -2 months,DWC,Recurrent,33,55.65,221.41,6601,0.2185,HDM,NO,LDZ,NO
3899,3 - 6 months,DWC,Recurrent,17,19.13,219.97,3095,0.3722,LDM,NO,HDZ,NO
3900,7-12 months,DWC,Recurrent,2,1.25,170.36,269,0.5549,HDM,NO,HDZ,NO
3901,1 -2 months,DWC,New,8,7.67,167.64,1061,0.4696,HDM,NO,HDZ,YES
3902,3 - 6 months,DWOC,Recurrent,1,1.38,351,336,0.9002,LDM,NO,LDZ,YES
3903,7-12 months,DWC,Recurrent,7,6.92,533.59,2750,0.6786,LDM,NO,HDZ,YES
3904,1 -2 months,DWOC,New,3,3.03,272.19,659,0.7408,HDM,YES,HDZ,YES
3905,3 - 6 months,DWC,Recurrent,2,1.81,219.67,345,0.4043,LDM,NO,HDZ,YES
3906,1 -2 months,DWC,New,17,18.44,221.78,3284,0.4343,HDM,NO,LDZ,NO
3907,7-12 months,DWOC,Recurrent,60,38.38,224.78,10070,0.7128,HDM,YES,HDZ,NO
3908,1 -2 months,DWC,New,8,6.04,160.71,1068,0.3989,LDM,NO,HDZ,YES
3909,3 - 6 months,DWOC,Recurrent,240,160.2,320.41,57048,0.7397,HDM,YES,HDZ,NO
3910,1 -2 months,DWC,New,20,12.48,233.09,3346,0.646,HDM,NO,HDZ,YES
3911,1 -2 months,DWC,New,90,67.46,288.17,19810,0.693,HDM,YES,HDZ,NO
3912,7-12 months,DWOC,Recurrent,341,298.13,302.44,79043,0.7034,HDM,YES,HDZ,NO
3913,More than 12 months,DWC,Recurrent,174,92.97,305.13,39288,0.8625,HDM,YES,HDZ,NO
3914,7-12 months,DWC,Reactivated,31,19.77,320.26,7282,0.6512,HDM,NO,HDZ,NO
3915,More than 12 months,DWC,Recurrent,359,248.88,302.91,82928,0.7736,HDM,YES,HDZ,NO
3916,More than 12 months,DWC,Recurrent,120,73.68,260.3,23628,0.7389,HDM,YES,HDZ,NO
3917,3 - 6 months,DWOC,Recurrent,16,30.32,185.27,2405,0.4964,HDM,NO,HDZ,NO
3918,3 - 6 months,DWOC,Recurrent,83,56.93,249.06,17353,0.7506,HDM,YES,HDZ,YES
3919,3 - 6 months,DWC,Recurrent,1,12.84,686.5,662,0.1529,HDM,NO,LDZ,YES
3920,1 -2 months,DWC,Recurrent,223,131.73,170.93,35547,0.682,HDM,NO,HDZ,NO
3921,More than 12 months,DWC,Recurrent,166,127.51,312.72,38734,0.5389,LDM,YES,HDZ,NO
3922,7-12 months,DWC,Recurrent,28,18.53,223.15,4830,0.6745,HDM,NO,HDZ,NO
3923,3 - 6 months,DWOC,Recurrent,162,104.97,302.99,36413,0.7198,HDM,YES,HDZ,NO
3924,7-12 months,DWC,Reactivated,16,11.43,253.21,3624,0.6915,HDM,NO,LDZ,NO
3925,7-12 months,DWC,Recurrent,146,105.42,342.42,37457,0.7616,HDM,YES,HDZ,NO
3926,1 -2 months,DWC,New,40,36.85,202.88,7559,0.4634,LDM,NO,HDZ,YES
3927,1 -2 months,DWC,New,9,7.17,217.72,1660,0.5973,LDM,NO,HDZ,YES
3928,7-12 months,DWC,Recurrent,28,22.46,302.79,6844,0.6607,HDM,YES,HDZ,NO
3929,1 -2 months,DWC,New,40,40.93,147.55,5659,0.5814,HDM,NO,HDZ,YES
3930,3 - 6 months,DWC,Recurrent,224,152.26,308.48,51039,0.7216,HDM,YES,HDZ,NO
3931,1 -2 months,DWC,New,5,9.52,167.44,730,0.6866,HDM,NO,HDZ,NO
3932,1 -2 months,DWOC,New,358,255.06,233.81,67981,0.6259,HDM,YES,HDZ,NO
3933,1 -2 months,DWC,New,3,3.49,149.26,429,0.3569,HDM,NO,LDZ,YES
3934,7-12 months,DWOC,Recurrent,260,181.96,305.91,60165,0.8081,HDM,YES,HDZ,NO
3935,7-12 months,DWOC,Recurrent,229,166.78,279.94,48374,0.6688,HDM,YES,HDZ,NO
3936,More than 12 months,DWC,Recurrent,40,42.58,359.65,10965,0.5174,LDM,YES,HDZ,NO
3937,More than 12 months,DWC,Recurrent,102,89.69,354.94,27883,0.6736,HDM,YES,HDZ,NO
3938,1 -2 months,DWC,Recurrent,56,44.79,185.83,7896,0.5414,HDM,NO,HDZ,NO
3939,More than 12 months,DWOC,Recurrent,317,241.26,342.61,81769,0.7349,HDM,YES,HDZ,NO
3940,1 -2 months,DWC,Recurrent,85,44.37,245.23,15319,0.7854,HDM,NO,HDZ,YES
3941,1 -2 months,DWC,New,3,3.37,251.16,721,0.4801,HDM,NO,HDZ,NO
3942,1 -2 months,DWC,New,6,6.15,161.03,761,0.3832,HDM,NO,LDZ,YES
3943,3 - 6 months,DWC,Recurrent,93,59.97,285.86,20575,0.7675,HDM,YES,HDZ,NO
3944,3 - 6 months,DWC,Recurrent,44,43.14,300.85,10193,0.6732,HDM,YES,HDZ,YES
3945,3 - 6 months,DWC,Recurrent,43,23.33,253.85,8227,0.7593,HDM,NO,HDZ,NO
3946,3 - 6 months,DWC,Recurrent,210,127.82,239.76,37146,0.7569,HDM,NO,HDZ,NO
3947,1 -2 months,DWOC,New,31,30.71,355.34,8503,0.6716,HDM,YES,HDZ,YES
3948,3 - 6 months,DWC,Recurrent,2,2.31,199.39,286,0.3658,HDM,NO,LDZ,NO
3949,7-12 months,DWC,Recurrent,178,130.62,374.78,49323,0.6488,HDM,YES,HDZ,NO
3950,3 - 6 months,DWC,Recurrent,225,145.7,296.94,49928,0.7844,HDM,YES,HDZ,NO
3951,3 - 6 months,DWC,Reactivated,26,25.89,145.45,3485,0.449,HDM,NO,LDZ,NO
3952,1 -2 months,DWOC,Recurrent,596,313.32,264.22,117476,0.7085,LDM,YES,HDZ,NO
3953,3 - 6 months,DWC,Recurrent,57,45.02,249.58,12746,0.7092,HDM,NO,LDZ,NO
3954,More than 12 months,DWC,Recurrent,1,4.33,144,103,0.058,HDM,NO,HDZ,NO
3955,1 -2 months,DWOC,New,39,31.02,145.3,5282,0.4817,HDM,NO,HDZ,NO
3956,More than 12 months,DWC,Reactivated,2,1.91,371.95,548,0.5809,HDM,NO,HDZ,YES
3957,3 - 6 months,DWOC,Recurrent,425,262.7,277.33,86659,0.7108,HDM,YES,HDZ,NO
3958,7-12 months,DWC,Recurrent,78,65.68,419.66,24816,0.6723,HDM,YES,HDZ,NO
