ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
2735,7-12 months,DWC,Reactivated,1,0.73,287.25,206,0.4763,HDM,NO,HDZ,YES
2736,7-12 months,DWC,Recurrent,60,37.48,306.65,13906,0.7083,HDM,NO,HDZ,YES
2737,1 - 2 months,DWC,New,2,1.9,106.79,153,0.2131,LDM,NO,HDZ,NO
2738,More than 12 months,DWC,Recurrent,225,141.82,321.87,53576,0.8179,HDM,YES,HDZ,NO
2739,1 - 2 months,DWC,New,1,0.84,338.29,326,0.6228,LDM,NO,HDZ,NO
2740,1 - 2 months,DWC,New,5,4.22,65.86,315,0.4676,HDM,NO,LDZ,NO
2741,7-12 months,DWC,Reactivated,18,12.91,322.02,4346,0.676,HDM,NO,HDZ,NO
2742,3 - 6 months,DWC,Recurrent,3,2.15,112.15,322,0.6137,HDM,NO,LDZ,YES
2743,7-12 months,DWC,Recurrent,147,93.03,296.8,33971,0.7495,HDM,YES,HDZ,NO
2744,1 - 2 months,DWC,New,2,7.77,113.67,238,0.1014,HDM,NO,HDZ,YES
2745,3 - 6 months,DWC,Recurrent,16,12.4,108.46,1661,0.448,HDM,NO,LDZ,YES
2746,1 - 2 months,DWC,Recurrent,13,7.58,215.26,2604,0.5745,HDM,NO,HDZ,YES
2747,3 - 6 months,DWC,Recurrent,205,134.48,262.68,40146,0.7254,HDM,YES,HDZ,NO
2748,More than 12 months,DWC,Recurrent,167,125.35,253.82,34498,0.6367,HDM,NO,HDZ,YES
2749,More than 12 months,DWC,Recurrent,364,300.01,348.46,96664,0.6835,HDM,YES,HDZ,NO
2750,3 - 6 months,DWC,Recurrent,107,100.39,177.51,16814,0.4792,HDM,NO,LDZ,NO
2751,1 - 2 months,DWC,New,1,11.4,104.5,75,0.0315,HDM,NO,HDZ,YES
2752,1 - 2 months,DWC,New,3,3.92,62.72,180,0.1373,LDM,NO,HDZ,YES
2753,More than 12 months,DWOC,Recurrent,263,154.65,209.9,44218,0.5723,LDM,NO,HDZ,NO
2754,3 - 6 months,DWC,Reactivated,4,3.03,230.32,662,0.6231,HDM,NO,HDZ,YES
2755,1 - 2 months,DWOC,New,107,76.27,280.55,23025,0.6069,HDM,YES,HDZ,NO
2756,1 - 2 months,DWC,New,2,3.65,659.82,1240,0.3941,HDM,NO,HDZ,YES
2757,1 - 2 months,DWC,Recurrent,5,13.27,229.25,1105,0.2198,HDM,NO,LDZ,YES
2758,7-12 months,DWC,Recurrent,259,173.3,283.5,55561,0.6975,HDM,NO,HDZ,NO
2759,7-12 months,DWC,Recurrent,213,146.2,304.68,48778,0.7773,HDM,YES,HDZ,NO
2760,1 - 2 months,DWC,New,3,3.05,72.19,207,0.2176,HDM,NO,HDZ,YES
2761,7-12 months,DWC,Recurrent,393,237.43,291.54,84365,0.7948,HDM,YES,HDZ,NO
2762,1 - 2 months,DWOC,New,182,101.29,233.87,31244,0.7278,HDM,NO,HDZ,NO
2763,7-12 months,DWC,Recurrent,22,11.05,276.37,4707,0.7972,HDM,NO,HDZ,YES
2764,3 - 6 months,DWC,Reactivated,5,4.18,362.67,1629,0.898,HDM,NO,HDZ,YES
2765,More than 12 months,DWC,Recurrent,88,67.43,328.38,21743,0.7532,HDM,YES,HDZ,NO
2766,1 - 2 months,DWC,New,2,2.48,187.62,269,0.2881,HDM,NO,HDZ,YES
2767,7-12 months,DWC,Recurrent,2,0.97,210.39,302,0.614,LDM,NO,HDZ,NO
2768,3 - 6 months,DWC,Recurrent,254,125.82,270.39,52813,0.7257,LDM,NO,HDZ,NO
2769,More than 12 months,DWC,Reactivated,6,4.25,299.68,1330,0.7423,HDM,YES,HDZ,YES
2770,1 - 2 months,DWC,New,2,1.95,148.78,285,0.3993,HDM,NO,HDZ,YES
2771,7-12 months,DWC,Reactivated,4,2.34,284.91,831,0.7984,HDM,NO,HDZ,NO
2772,3 - 6 months,DWC,Recurrent,314,180.93,256.83,59324,0.7456,HDM,YES,HDZ,NO
2773,7-12 months,DWC,Recurrent,8,5.99,311.34,1805,0.5156,LDM,NO,HDZ,NO
2774,7-12 months,DWC,Recurrent,211,154.85,345.77,53631,0.6837,HDM,YES,HDZ,NO
2775,7-12 months,DWC,Reactivated,6,4.76,205.62,962,0.6325,HDM,NO,HDZ,YES
2776,1 - 2 months,DWC,Recurrent,1,0.74,114.85,110,0.375,HDM,NO,LDZ,YES
2777,3 - 6 months,DWC,Recurrent,8,22.73,549.84,3283,0.2599,HDM,NO,HDZ,YES
2778,More than 12 months,DWC,Recurrent,56,39.55,276.67,11870,0.6678,LDM,YES,HDZ,YES
2779,1 - 2 months,DWC,Recurrent,3,12.17,212.01,456,0.1572,HDM,NO,HDZ,YES
2780,7-12 months,DWC,Recurrent,8,22.58,185.13,1261,0.1574,HDM,NO,HDZ,YES
2781,7-12 months,DWC,Reactivated,6,3.04,248.24,1069,0.765,HDM,YES,HDZ,YES
2782,7-12 months,DWC,Recurrent,131,75.18,260.74,24874,0.7497,HDM,NO,HDZ,NO
2783,More than 12 months,DWC,Recurrent,179,142.93,310.16,42772,0.7908,HDM,YES,HDZ,NO
2784,7-12 months,DWC,Recurrent,231,305.34,302.68,52751,0.3603,HDM,NO,HDZ,NO
2785,1 - 2 months,DWC,New,48,40.87,197.37,7935,0.4923,LDM,NO,HDZ,NO
2786,3 - 6 months,DWC,Recurrent,4,4.53,122.75,473,0.4537,LDM,NO,LDZ,NO
2787,1 - 2 months,DWC,New,1,5.01,78.38,75,0.0702,LDM,NO,LDZ,YES
2788,More than 12 months,DWC,Recurrent,1,13.75,840.42,633,0.1101,HDM,YES,HDZ,NO
2789,1 - 2 months,DWC,New,1,1.66,394,379,0.3835,LDM,NO,LDZ,YES
2790,More than 12 months,DWC,Recurrent,73,47.36,278.7,16020,0.7319,HDM,YES,HDZ,NO
2791,1 - 2 months,DWC,New,5,4.29,208.11,801,0.5612,HDM,NO,HDZ,NO
2792,3 - 6 months,DWC,Recurrent,1,1.39,199.61,194,0.2932,HDM,NO,HDZ,YES
2793,1 - 2 months,DWC,New,18,24.68,533.49,7416,0.5689,LDM,YES,HDZ,YES
2794,More than 12 months,DWC,Recurrent,44,33.97,467.3,15407,0.8106,HDM,YES,HDZ,NO
2795,More than 12 months,DWC,Recurrent,83,55.6,299.67,18157,0.7735,HDM,YES,HDZ,NO
2796,7-12 months,DWC,Recurrent,6,4.22,280.65,1229,0.8151,HDM,NO,HDZ,YES
2797,More than 12 months,DWC,Recurrent,53,109.39,736.88,29238,0.3824,HDM,YES,HDZ,NO
2798,1 - 2 months,DWC,Recurrent,2,0.86,109.17,157,0.793,HDM,NO,LDZ,YES
2799,More than 12 months,DWC,Recurrent,33,43.75,649.59,16012,0.5282,HDM,YES,HDZ,NO
2800,3 - 6 months,DWC,Reactivated,27,21.29,231.55,5695,0.5239,HDM,NO,HDZ,NO
2801,More than 12 months,DWC,Recurrent,134,119.21,434.01,44231,0.7147,LDM,YES,HDZ,NO
2802,1 - 2 months,DWOC,Recurrent,307,252.03,301.93,70540,0.733,HDM,YES,HDZ,NO
2803,1 - 2 months,DWC,New,3,3.9,76.7,220,0.1451,HDM,NO,LDZ,YES
2804,7-12 months,DWC,Recurrent,262,148.21,245.65,47394,0.6992,LDM,NO,HDZ,NO
2805,1 - 2 months,DWC,New,1,1.51,204,195,0.4228,HDM,NO,HDZ,YES
2806,1 - 2 months,DWC,New,2,2.95,119.5,172,0.1753,HDM,NO,HDZ,YES
2807,1 - 2 months,DWC,New,13,21.6,200.63,1995,0.2718,HDM,NO,HDZ,YES
2808,1 - 2 months,DWC,New,1,1,98.86,95,0.2022,HDM,NO,LDZ,YES
2809,3 - 6 months,DWC,Reactivated,1,2.03,178.83,171,0.1671,LDM,NO,LDZ,YES
2810,More than 12 months,DWC,Recurrent,11,14.51,414.86,3347,0.3575,HDM,NO,HDZ,NO
2811,1 - 2 months,DWC,New,3,4.46,86.79,249,0.3504,LDM,NO,LDZ,NO
2812,1 - 2 months,DWOC,Recurrent,63,44.09,292.56,13712,0.592,LDM,YES,HDZ,YES
2813,3 - 6 months,DWC,Reactivated,1,3.62,88.63,85,0.0883,HDM,NO,LDZ,YES
2814,1 - 2 months,DWC,New,6,5.62,121.9,662,0.4013,HDM,NO,HDZ,NO
2815,1 - 2 months,DWC,New,69,56.61,212.9,14176,0.5131,HDM,NO,LDZ,YES
2816,3 - 6 months,DWC,Reactivated,6,10.01,413.59,1801,0.9667,HDM,NO,HDZ,NO
2817,More than 12 months,DWC,Reactivated,2,2.44,521.66,1006,0.6587,LDM,NO,LDZ,YES
2818,1 - 2 months,DWC,Recurrent,115,79.96,227.22,21849,0.6966,HDM,NO,HDZ,YES
2819,1 - 2 months,DWOC,New,67,49.54,327.86,16168,0.6952,HDM,YES,HDZ,NO
2820,3 - 6 months,DWC,Recurrent,287,173.72,266.63,56764,0.7776,HDM,YES,HDZ,NO
2821,1 - 2 months,DWC,Recurrent,29,23.43,262.41,6954,0.5079,LDM,NO,HDZ,YES
2822,1 - 2 months,DWC,New,4,4.65,253.67,700,0.4915,HDM,NO,HDZ,YES
2823,More than 12 months,DWC,Reactivated,5,3.89,468.58,1897,0.7639,LDM,NO,HDZ,YES
2824,1 - 2 months,DWOC,Recurrent,96,52.17,233.77,16759,0.8465,HDM,YES,HDZ,NO
2825,1 - 2 months,DWC,New,4,2.63,418.42,1609,0.8038,HDM,NO,LDZ,YES
2826,1 - 2 months,DWC,New,5,6.69,71.69,343,0.238,HDM,NO,LDZ,YES
2827,1 - 2 months,DWC,New,3,1.34,184.47,530,0.8627,HDM,NO,LDZ,YES
2828,7-12 months,DWOC,Recurrent,61,32.84,298.62,13776,0.7452,HDM,YES,HDZ,NO
2829,7-12 months,DWC,Recurrent,110,81.48,309.03,25347,0.7232,HDM,YES,HDZ,NO
2830,1 - 2 months,DWC,Recurrent,7,5.84,79.01,529,0.3233,LDM,NO,LDZ,YES
2831,7-12 months,DWC,Recurrent,179,102.97,252.82,34443,0.7625,HDM,NO,HDZ,NO
2832,1 - 2 months,DWC,New,50,37.85,173.5,8253,0.5121,HDM,NO,HDZ,YES
2833,7-12 months,DWC,Recurrent,94,52.85,282.73,19585,0.7675,HDM,NO,HDZ,NO
2834,3 - 6 months,DWC,Recurrent,1,19.85,86,82,0.0707,HDM,NO,LDZ,NO
2835,1 - 2 months,DWC,Recurrent,21,22.59,221.43,3505,0.3736,HDM,NO,HDZ,YES
2836,More than 12 months,DWOC,Recurrent,274,182.4,285.52,59397,0.7752,HDM,YES,HDZ,NO
2837,More than 12 months,DWOC,Recurrent,7,4.54,244.59,1245,0.7231,HDM,NO,HDZ,YES
2838,7-12 months,DWC,Recurrent,29,31.52,357.37,7781,0.4406,HDM,YES,HDZ,NO
2839,1 - 2 months,DWC,New,24,34.29,170.29,3861,0.2933,HDM,NO,LDZ,YES
2840,3 - 6 months,DWC,Recurrent,59,38.67,200.61,11341,0.7261,HDM,NO,LDZ,NO
2841,1 - 2 months,DWC,Recurrent,37,27.31,217.57,7242,0.6002,HDM,NO,HDZ,YES
2842,1 - 2 months,DWOC,Recurrent,114,87.33,193.07,16684,0.5216,HDM,NO,HDZ,YES
2843,More than 12 months,DWC,Recurrent,152,88.71,285.41,31475,0.766,LDM,YES,HDZ,NO
2844,3 - 6 months,DWC,Reactivated,3,4.49,195.62,423,0.2611,HDM,NO,HDZ,YES
2845,7-12 months,DWC,Recurrent,161,228.34,546.41,65740,0.4966,HDM,YES,HDZ,NO
2846,7-12 months,DWC,Recurrent,4,4.8,280.62,979,0.577,HDM,NO,LDZ,NO
2847,3 - 6 months,DWC,Recurrent,198,123.02,247.44,35836,0.7814,HDM,NO,HDZ,NO
2848,More than 12 months,DWC,Recurrent,39,106.62,351.23,12037,0.354,HDM,NO,LDZ,YES
2849,3 - 6 months,DWOC,Recurrent,45,26.21,300.31,11023,0.7794,HDM,YES,HDZ,YES
2850,7-12 months,DWC,Recurrent,64,30.71,238.65,11233,0.7215,HDM,YES,HDZ,NO
2851,7-12 months,DWC,Recurrent,97,53.19,268.73,20027,0.7954,HDM,NO,HDZ,NO
2852,3 - 6 months,DWC,Recurrent,28,21.58,364.51,7442,0.6342,HDM,NO,HDZ,NO
2853,1 - 2 months,DWC,New,9,6.64,169.81,1430,0.5532,HDM,NO,HDZ,YES
2854,1 - 2 months,DWC,New,11,14.1,362.15,2886,0.539,HDM,NO,HDZ,NO
2855,1 - 2 months,DWC,Recurrent,3,3.29,271.63,780,0.6153,HDM,NO,LDZ,YES
2856,3 - 6 months,DWOC,Recurrent,1,1.38,351,336,0.9002,LDM,NO,LDZ,YES
2857,3 - 6 months,DWC,Reactivated,1,1.16,199,191,0.2752,HDM,NO,LDZ,YES
2858,1 - 2 months,DWC,New,2,3.87,185.75,290,0.2213,HDM,NO,HDZ,NO
2859,1 - 2 months,DWC,Recurrent,1,1.03,86,82,0.3049,LDM,NO,LDZ,YES
2860,3 - 6 months,DWC,Recurrent,5,3.72,285.74,1198,0.8384,HDM,NO,HDZ,NO
2861,1 - 2 months,DWC,Recurrent,28,15.4,165.94,3894,0.6159,HDM,NO,HDZ,YES
2862,1 - 2 months,DWC,New,2,1.32,42.65,82,0.2151,HDM,NO,LDZ,YES
2863,1 - 2 months,DWC,New,25,26.3,250.94,5636,0.3934,HDM,NO,HDZ,YES
2864,3 - 6 months,DWC,Recurrent,3,2.34,369.33,800,0.8053,HDM,NO,HDZ,NO
2865,More than 12 months,DWC,Recurrent,114,69.46,280,24030,0.6558,HDM,YES,HDZ,NO
2866,More than 12 months,DWC,Recurrent,145,91.41,283.37,30739,0.8126,HDM,YES,HDZ,NO
2867,3 - 6 months,DWOC,Recurrent,425,262.7,277.33,86659,0.7108,HDM,YES,HDZ,NO
2868,1 - 2 months,DWC,New,58,45.73,235.67,10646,0.5494,HDM,NO,HDZ,YES
2869,7-12 months,DWC,Recurrent,214,119.8,272.32,42530,0.7287,HDM,YES,HDZ,NO
2870,More than 12 months,DWC,Recurrent,61,37.74,236.51,10514,0.7116,HDM,NO,HDZ,NO
2871,More than 12 months,DWC,Recurrent,43,24.96,225.12,7045,0.6714,LDM,NO,HDZ,YES
2872,1 - 2 months,DWC,Recurrent,2,1.37,118.08,226,0.5013,HDM,NO,LDZ,YES
2873,More than 12 months,DWC,Recurrent,127,67.07,286.95,26705,0.8441,HDM,YES,HDZ,NO
2874,7-12 months,DWC,Recurrent,50,44.07,222.21,10515,0.5572,HDM,NO,LDZ,NO
2875,7-12 months,DWC,Reactivated,2,4.48,62.25,119,0.2109,HDM,NO,LDZ,NO
2876,1 - 2 months,DWC,New,1,4.81,275.57,205,0.1676,HDM,NO,HDZ,YES
2877,More than 12 months,DWC,Recurrent,47,33.35,220.75,7469,0.6674,HDM,YES,HDZ,NO
2878,1 - 2 months,DWOC,Recurrent,261,168.62,260.44,51462,0.7452,HDM,YES,HDZ,YES
2879,1 - 2 months,DWC,New,16,22.41,230.03,3227,0.3597,HDM,NO,HDZ,YES
2880,7-12 months,DWC,Recurrent,83,79.38,265,16059,0.4827,HDM,NO,HDZ,NO
2881,7-12 months,DWC,Recurrent,160,111.32,265.98,33140,0.6879,HDM,NO,HDZ,NO
2882,3 - 6 months,DWC,Reactivated,1,2.42,79,76,0.0991,HDM,NO,LDZ,YES
2883,1 - 2 months,DWC,New,26,41.77,186.09,4217,0.36870000000000003,HDM,NO,HDZ,YES
2884,3 - 6 months,DWC,Recurrent,117,64.08,236.23,20425,0.7239,HDM,NO,HDZ,NO
2885,7-12 months,DWC,Recurrent,83,56.64,233.36,15381,0.6708,HDM,NO,HDZ,YES
2886,7-12 months,DWC,Reactivated,17,9.57,226.7,2762,0.7456,HDM,YES,HDZ,YES
2887,1 - 2 months,DWC,New,1,6.87,104.5,75,0.0723,HDM,NO,HDZ,YES
2888,3 - 6 months,DWC,Recurrent,165,117.4,302.29,36953,0.7697,HDM,YES,HDZ,NO
2889,More than 12 months,DWC,Recurrent,150,104.95,301.2,35043,0.796,HDM,YES,HDZ,NO
2890,3 - 6 months,DWC,Reactivated,9,16.27,218.86,1672,0.2686,HDM,NO,LDZ,YES
2891,3 - 6 months,DWC,Reactivated,69,38.37,223.24,11522,0.7967,HDM,NO,HDZ,NO
2892,1 - 2 months,DWC,New,27,19.53,171.89,3791,0.5969,HDM,NO,HDZ,YES
2893,3 - 6 months,DWC,Recurrent,3,7.31,286.04,787,0.2859,HDM,NO,HDZ,NO
2894,1 - 2 months,DWC,New,11,6.95,241.79,1940,0.7697,HDM,NO,HDZ,YES
2895,3 - 6 months,DWC,Recurrent,131,76.42,303.35,29353,0.8725,HDM,YES,HDZ,NO
2896,1 - 2 months,DWC,New,10,10.82,242.92,1806,0.4407,HDM,NO,HDZ,YES
2897,1 - 2 months,DWC,New,7,10.43,180.45,1077,0.241,LDM,NO,HDZ,YES
2898,1 - 2 months,DWC,New,8,5.11,211.78,1548,0.6803,HDM,NO,LDZ,NO
2899,1 - 2 months,DWC,New,78,80.46,221.88,15277,0.4493,HDM,NO,HDZ,YES
2900,3 - 6 months,DWC,Recurrent,1,1.6,223.89,161,0.2383,LDM,NO,HDZ,YES
2901,7-12 months,DWC,Recurrent,113,145.65,658.06,57690,0.592,HDM,YES,HDZ,NO
2902,3 - 6 months,DWC,Recurrent,4,5.27,248.87,953,0.4366,HDM,NO,LDZ,NO
2903,3 - 6 months,DWC,Recurrent,25,87.77,234.01,4735,0.2593,HDM,NO,HDZ,YES
2904,More than 12 months,DWC,Recurrent,44,31.19,358.16,12379,0.7497,HDM,YES,HDZ,NO
2905,1 - 2 months,DWC,New,5,9.15,111.08,531,0.2401,HDM,NO,LDZ,YES
2906,3 - 6 months,DWC,Recurrent,25,21.91,245.42,5676,0.4712,HDM,NO,HDZ,NO
2907,1 - 2 months,DWC,New,1,6.72,176.5,169,0.0592,LDM,NO,HDZ,YES
2908,More than 12 months,DWC,Recurrent,260,180.3,290.17,57194,0.7957,HDM,YES,HDZ,NO
2909,3 - 6 months,DWC,Recurrent,84,51.31,293.49,18288,0.8122,HDM,NO,HDZ,YES
2910,7-12 months,DWOC,Reactivated,4,1.76,191.12,549,0.682,HDM,NO,HDZ,NO
2911,7-12 months,DWC,Recurrent,259,137.49,285.18,53741,0.6953,LDM,YES,HDZ,NO
2912,1 - 2 months,DWOC,Recurrent,99,51.44,273.55,19785,0.8008,LDM,YES,HDZ,NO
2913,7-12 months,DWC,Recurrent,156,116.36,299.24,35785,0.7829,HDM,YES,HDZ,NO
2914,7-12 months,DWC,Recurrent,8,6.49,254.86,1488,0.5788,HDM,NO,HDZ,NO
2915,3 - 6 months,DWC,Recurrent,14,6.4,137.1,1841,0.8063,HDM,NO,LDZ,YES
2916,7-12 months,DWOC,Recurrent,76,91.88,434.81,26509,0.5816,HDM,YES,HDZ,YES
2917,3 - 6 months,DWC,Recurrent,7,4.56,189.1,950,0.563,HDM,NO,HDZ,NO
2918,More than 12 months,DWC,Recurrent,31,18.63,200.73,4467,0.6786,HDM,YES,HDZ,YES
2919,3 - 6 months,DWC,Recurrent,184,130.65,273.49,39457,0.7387,HDM,NO,HDZ,NO
2920,More than 12 months,DWC,Recurrent,124,63.4,276.88,24956,0.8392,HDM,YES,HDZ,NO
2921,1 - 2 months,DWC,New,6,6.9,218.59,1262,0.481,HDM,NO,HDZ,YES
2922,7-12 months,DWC,Recurrent,186,96.58,247.01,33553,0.7182,HDM,NO,HDZ,NO
2923,7-12 months,DWC,Reactivated,3,52.77,103.5,297,0.2055,LDM,NO,HDZ,YES
2924,1 - 2 months,DWC,Recurrent,2,0.93,282.26,427,0.6868,HDM,NO,HDZ,YES
2925,3 - 6 months,DWC,Recurrent,13,10.52,283.62,2676,0.4934,HDM,NO,HDZ,NO
2926,1 - 2 months,DWC,Recurrent,1,0.43,78.38,75,0.4524,HDM,NO,HDZ,YES
2927,3 - 6 months,DWC,Recurrent,34,14.2,136.47,4458,0.6296,LDM,NO,LDZ,YES
2928,1 - 2 months,DWC,New,3,3.29,397.4,1032,0.5116,HDM,NO,HDZ,YES
2929,1 - 2 months,DWC,New,26,25.4,251.71,5666,0.5529,HDM,YES,HDZ,YES
2930,3 - 6 months,DWC,Recurrent,56,38.45,290.37,12027,0.8381,HDM,YES,HDZ,NO
2931,More than 12 months,DWC,Recurrent,141,89.06,269.58,28044,0.7919,HDM,YES,HDZ,NO
2932,3 - 6 months,DWC,Recurrent,61,29.79,156.8,6891,0.706,HDM,NO,HDZ,YES
2933,3 - 6 months,DWOC,Recurrent,539,353.69,302.43,120281,0.7173,HDM,YES,HDZ,NO
2934,More than 12 months,DWC,Recurrent,42,26.1,232.92,7742,0.7507,HDM,NO,HDZ,NO
2935,1 - 2 months,DWC,New,2,1.92,111.66,214,0.3477,HDM,NO,LDZ,YES
2936,More than 12 months,DWC,Recurrent,168,82.41,263.89,32401,0.7529,HDM,YES,HDZ,NO
2937,More than 12 months,DWC,Recurrent,269,166,266.69,53547,0.7642,HDM,YES,HDZ,NO
2938,More than 12 months,DWC,Recurrent,193,132.35,281.5,40584,0.7715,HDM,NO,HDZ,NO
2939,1 - 2 months,DWOC,New,375,229.22,330.03,91318,0.7648,HDM,YES,HDZ,NO
2940,3 - 6 months,DWC,Recurrent,23,35.06,140.67,2408,0.5982,HDM,NO,HDZ,YES
2941,1 - 2 months,DWC,Recurrent,198,145.01,201.74,30870,0.5358,LDM,NO,HDZ,NO
2942,1 - 2 months,DWC,Recurrent,6,11.23,197.62,1104,0.2211,HDM,NO,LDZ,YES
2943,1 - 2 months,DWOC,New,37,32.54,379.1,10937,0.6332,HDM,YES,HDZ,NO
2944,7-12 months,DWC,Recurrent,125,80.81,229.84,23251,0.5859,LDM,NO,HDZ,YES
2945,1 - 2 months,DWC,New,1,0.73,145.75,105,0.5457,HDM,NO,HDZ,YES
2946,1 - 2 months,DWC,Recurrent,8,6.47,164.23,1257,0.5072,HDM,NO,HDZ,YES
2947,3 - 6 months,DWC,Recurrent,2,13.85,637.94,944,0.108,HDM,NO,HDZ,YES
2948,1 - 2 months,DWC,New,8,9.41,178.98,1373,0.3376,HDM,NO,LDZ,YES
2949,7-12 months,DWC,Recurrent,333,210.21,265.32,65277,0.7769,HDM,YES,HDZ,NO
2950,1 - 2 months,DWOC,New,318,209.38,343.55,83984,0.7346,HDM,YES,HDZ,NO
2951,7-12 months,DWC,Recurrent,182,119.79,241.08,35185,0.7095,HDM,NO,HDZ,NO
2952,7-12 months,DWC,Recurrent,26,20.98,297.83,6966,0.614,HDM,NO,HDZ,NO
2953,1 - 2 months,DWC,Recurrent,73,103.44,209.49,12421,0.2985,HDM,NO,HDZ,NO
2954,7-12 months,DWC,Recurrent,126,83.07,313.23,29449,0.8133,HDM,YES,HDZ,NO
2955,More than 12 months,DWC,Recurrent,110,70.26,194.5,15520,0.5021,HDM,YES,HDZ,NO
2956,More than 12 months,DWC,Reactivated,6,4.9,274.53,1197,0.4499,LDM,NO,HDZ,YES
2957,More than 12 months,DWC,Reactivated,62,39.75,262.03,11985,0.7489,HDM,YES,HDZ,NO
2958,1 - 2 months,DWC,New,10,10.17,215.69,1601,0.392,LDM,NO,HDZ,YES
2959,1 - 2 months,DWC,Recurrent,3,1.82,145.44,339,0.4661,HDM,NO,HDZ,YES
2960,1 - 2 months,DWC,New,32,17.31,185.38,5296,0.6856,HDM,NO,HDZ,YES
2961,3 - 6 months,DWC,Recurrent,154,82.56,240.37,27282,0.715,HDM,NO,HDZ,NO
2962,7-12 months,DWC,Recurrent,188,164.9,445.51,64164,0.6682,HDM,YES,HDZ,NO
2963,3 - 6 months,DWC,Reactivated,21,17.17,150.95,2803,0.4908,HDM,NO,LDZ,NO
2964,1 - 2 months,DWC,New,69,55.95,186.01,11509,0.4618,HDM,NO,LDZ,NO
2965,1 - 2 months,DWC,New,2,2.36,392.78,752,0.8578,HDM,NO,LDZ,YES
2966,7-12 months,DWC,Recurrent,326,250.04,330.21,82583,0.7279,HDM,YES,HDZ,NO
2967,1 - 2 months,DWC,New,99,67.75,171.7,14829,0.5733,HDM,NO,HDZ,NO
2968,1 - 2 months,DWC,New,4,5.02,240.47,920,0.3952,HDM,NO,HDZ,YES
2969,1 - 2 months,DWC,New,5,3.56,118.27,566,0.5883,HDM,NO,HDZ,YES
2970,More than 12 months,DWC,Recurrent,80,57.46,252.63,15238,0.7928,HDM,YES,HDZ,YES
2971,7-12 months,DWC,Reactivated,65,36.22,238,11126,0.8006,HDM,NO,HDZ,NO
2972,1 - 2 months,DWC,Recurrent,2,2.47,138.5,265,0.328,HDM,NO,LDZ,YES
2973,1 - 2 months,DWC,Recurrent,2,2.66,355.75,540,0.5153,HDM,NO,HDZ,YES
2974,7-12 months,DWC,Reactivated,1,1.8,431.5,414,0.5136,HDM,NO,LDZ,YES
2975,7-12 months,DWC,Recurrent,148,97.45,227.04,24975,0.6528,HDM,NO,HDZ,NO
2976,1 - 2 months,DWC,New,5,6.17,196.42,940,0.3839,HDM,NO,LDZ,NO
2977,1 - 2 months,DWC,New,3,8.55,118.63,283,0.0779,LDM,NO,HDZ,YES
2978,1 - 2 months,DWC,Recurrent,27,23.94,162.99,4221,0.5074,HDM,NO,LDZ,YES
2979,More than 12 months,DWOC,Recurrent,15,14.47,206.71,3342,0.5213,HDM,NO,LDZ,YES
2980,1 - 2 months,DWC,New,14,13.8,199.31,2351,0.4103,HDM,NO,HDZ,YES
2981,More than 12 months,DWC,Recurrent,9,10.96,478.37,3185,0.5199,LDM,YES,HDZ,YES
2982,More than 12 months,DWC,Recurrent,28,18.85,237.19,4805,0.6635,HDM,NO,HDZ,NO
2983,1 - 2 months,DWC,New,4,9.67,582.34,1846,0.3073,HDM,NO,HDZ,YES
2984,1 - 2 months,DWOC,Recurrent,244,130.42,240.8,44070,0.7016,HDM,YES,HDZ,YES
2985,7-12 months,DWC,Recurrent,176,88.68,237.9,30879,0.8622,HDM,NO,HDZ,NO
2986,7-12 months,DWC,Recurrent,65,44.96,258.69,12115,0.7553,HDM,YES,HDZ,NO
2987,7-12 months,DWOC,Recurrent,278,155.42,243.69,49346,0.7237,HDM,YES,HDZ,NO
2988,1 - 2 months,DWC,New,141,95.5,279.53,29427,0.757,HDM,YES,HDZ,YES
2989,1 - 2 months,DWOC,New,27,16.19,305.66,6141,0.8765,HDM,YES,HDZ,NO
2990,1 - 2 months,DWC,New,5,2.18,133.42,479,0.7323,HDM,NO,HDZ,YES
2991,7-12 months,DWC,Recurrent,172,95.04,251.68,31826,0.7168,HDM,NO,HDZ,NO
2992,More than 12 months,DWC,Recurrent,119,82.12,294.39,26548,0.7439,LDM,YES,HDZ,NO
2993,1 - 2 months,DWC,Recurrent,35,22.53,98.66,3154,0.3234,HDM,NO,LDZ,NO
2994,3 - 6 months,DWC,Recurrent,1,1.16,129.11,97,0.5394,HDM,NO,HDZ,YES
2995,1 - 2 months,DWC,New,106,41.74,91.05,9237,0.5591,LDM,NO,LDZ,NO
2996,1 - 2 months,DWOC,New,126,70.81,313.51,28663,0.71,HDM,YES,HDZ,NO
2997,7-12 months,DWC,Recurrent,242,167.93,275.2,53227,0.7632,HDM,YES,HDZ,NO
2998,3 - 6 months,DWOC,Recurrent,9,5.52,248.91,1717,0.8593,HDM,NO,HDZ,YES
2999,1 - 2 months,DWC,Recurrent,15,19.87,209.07,2861,0.8245,HDM,NO,LDZ,NO
3000,1 - 2 months,DWC,New,6,5.59,388.14,1701,0.7277,HDM,NO,HDZ,NO
3001,More than 12 months,DWC,Recurrent,42,22.38,306.25,9377,0.7928,HDM,YES,HDZ,NO
3002,3 - 6 months,DWC,Recurrent,8,11.58,168.93,1448,0.2978,HDM,NO,LDZ,NO
