ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
901,7-12 months,DWOC,Recurrent,308,181.95,302.1,68996,0.7954,HDM,YES,HDZ,NO
902,1 - 2 months,DWC,Recurrent,1,4.16,174,125,0.1862,HDM,NO,HDZ,YES
903,More than 12 months,DWC,Recurrent,179,103.37,249.59,36079,0.7723,HDM,YES,HDZ,NO
904,1 - 2 months,DWC,New,2,5.69,82.46,160,0.1603,HDM,NO,HDZ,YES
905,3 - 6 months,DWC,Recurrent,1,1.19,78.69,75,0.2179,LDM,NO,LDZ,YES
906,1 - 2 months,DWOC,New,186,117.23,269.74,36862,0.5961,LDM,YES,HDZ,NO
907,1 - 2 months,DWC,Recurrent,158,173.94,264.05,35829,0.4787,HDM,NO,HDZ,NO
908,More than 12 months,DWC,Recurrent,154,79.62,259.32,29384,0.7939,HDM,YES,HDZ,NO
909,3 - 6 months,DWC,Recurrent,9,16.62,291.23,2088,0.3298,HDM,NO,HDZ,YES
910,1 - 2 months,DWC,New,3,3.04,91.12,262,0.2445,HDM,NO,HDZ,YES
911,3 - 6 months,DWOC,Recurrent,97,118.82,481.13,35431,0.4901,LDM,YES,HDZ,NO
912,3 - 6 months,DWOC,Recurrent,62,28.19,213.12,9639,0.8041,HDM,YES,HDZ,YES
913,7-12 months,DWC,Reactivated,21,14.46,306.31,5000,0.743,HDM,NO,HDZ,NO
914,1 - 2 months,DWC,Recurrent,109,59.7,245.48,19765,0.6822,LDM,NO,HDZ,NO
915,3 - 6 months,DWC,Reactivated,5,2.54,185.68,683,0.8034,HDM,NO,HDZ,NO
916,3 - 6 months,DWOC,Recurrent,194,114.11,267.66,37756,0.8514,HDM,YES,HDZ,YES
917,More than 12 months,DWC,Recurrent,118,107.06,343.07,30734,0.6478,HDM,YES,HDZ,NO
918,1 - 2 months,DWC,New,3,6.6,160.76,346,0.1885,HDM,NO,HDZ,YES
919,1 - 2 months,DWC,Recurrent,14,16.62,60.45,778,0.1358,HDM,NO,LDZ,NO
920,1 - 2 months,DWC,Recurrent,11,6.5,234.93,1855,0.7383,HDM,NO,HDZ,NO
921,7-12 months,DWC,Reactivated,4,3.1,161.5,548,0.368,HDM,NO,HDZ,YES
922,1 - 2 months,DWOC,Recurrent,131,82.59,294.73,28844,0.7353,HDM,YES,HDZ,NO
923,More than 12 months,DWC,Recurrent,145,154.78,349.62,38449,0.5258,HDM,YES,HDZ,NO
924,1 - 2 months,DWC,Recurrent,49,34.66,75.35,3490,0.3774,HDM,NO,LDZ,NO
925,1 - 2 months,DWC,New,13,8.61,356.78,3383,0.8943,LDM,YES,HDZ,NO
926,1 - 2 months,DWC,Recurrent,137,99.27,297.34,30912,0.7384,HDM,YES,HDZ,NO
927,1 - 2 months,DWC,New,25,16.69,190.18,4197,0.5896,LDM,NO,HDZ,YES
928,1 - 2 months,DWOC,New,76,36.81,251.13,13848,0.736,HDM,NO,HDZ,NO
929,1 - 2 months,DWC,New,2,2.83,321.82,620,0.6178,HDM,NO,LDZ,YES
930,1 - 2 months,DWC,New,6,4.06,131.13,753,0.4741,HDM,NO,LDZ,YES
931,3 - 6 months,DWC,Reactivated,3,2.48,112.25,322,0.4306,HDM,NO,HDZ,NO
932,1 - 2 months,DWC,New,102,61.99,262.83,19427,0.7729,HDM,NO,HDZ,NO
933,1 - 2 months,DWC,New,2,1.64,392.86,564,0.7657,HDM,NO,LDZ,YES
934,3 - 6 months,DWC,Recurrent,304,190.04,259.74,58296,0.7167,HDM,NO,HDZ,YES
935,3 - 6 months,DWC,Recurrent,11,6.43,176.9,1872,0.6524,LDM,NO,LDZ,NO
936,More than 12 months,DWC,Recurrent,114,64.08,233.13,20140,0.7265,HDM,YES,HDZ,NO
937,1 - 2 months,DWC,New,8,6.8,165.14,1030,0.3605,HDM,NO,HDZ,YES
938,3 - 6 months,DWOC,Recurrent,107,64.39,292.49,25109,0.7856,HDM,YES,HDZ,NO
939,3 - 6 months,DWOC,Reactivated,151,88.37,218.85,24613,0.603,LDM,YES,HDZ,NO
940,3 - 6 months,DWC,Reactivated,3,1.1,179.72,394,0.6664,LDM,NO,HDZ,YES
941,3 - 6 months,DWC,Recurrent,101,75.37,206.02,16793,0.5609,LDM,NO,HDZ,NO
942,1 - 2 months,DWC,Recurrent,28,24.76,178.41,4693,0.5218,HDM,NO,LDZ,YES
943,1 - 2 months,DWC,New,2,2.06,356.6,612,0.7164,HDM,NO,LDZ,YES
944,3 - 6 months,DWOC,Recurrent,3,2.95,155.93,448,0.3681,HDM,NO,LDZ,YES
945,More than 12 months,DWC,Recurrent,146,105.25,295.11,33031,0.7642,HDM,YES,HDZ,NO
946,More than 12 months,DWC,Recurrent,138,74.96,237.92,24236,0.7562,HDM,YES,HDZ,NO
947,7-12 months,DWC,Recurrent,8,4.41,212.5,1225,0.5736,HDM,NO,HDZ,YES
948,7-12 months,DWC,Recurrent,69,43.09,234.33,11774,0.7762,HDM,YES,HDZ,NO
949,7-12 months,DWC,Recurrent,117,88.77,339.75,29516,0.5729,HDM,NO,HDZ,NO
950,More than 12 months,DWC,Recurrent,168,96.13,289.18,39484,0.7805,HDM,YES,HDZ,NO
951,1 - 2 months,DWC,New,59,64.1,192.88,9621,0.3708,HDM,NO,HDZ,NO
952,1 - 2 months,DWC,New,4,4.38,234.08,690,0.3758,HDM,NO,HDZ,NO
953,1 - 2 months,DWC,Recurrent,11,12.61,189.56,1996,0.3784,LDM,NO,LDZ,YES
954,3 - 6 months,DWOC,Recurrent,358,270.82,335.01,90281,0.6801,HDM,YES,HDZ,NO
955,1 - 2 months,DWC,New,4,16.92,266.87,1023,0.7686,HDM,NO,LDZ,YES
956,1 - 2 months,DWC,New,2,2.82,162.97,312,0.3963,LDM,NO,LDZ,YES
957,More than 12 months,DWC,Reactivated,4,3.14,937.25,2787,0.779,HDM,YES,HDZ,YES
958,3 - 6 months,DWC,Recurrent,89,85.72,101.18,7682,0.2308,HDM,NO,LDZ,NO
959,1 - 2 months,DWC,New,6,5.79,271.25,1398,0.5023,HDM,NO,HDZ,YES
960,More than 12 months,DWC,Recurrent,2,2.52,618.31,1035,0.6159,HDM,NO,LDZ,YES
961,3 - 6 months,DWC,Recurrent,328,198.55,243.48,59248,0.7102,HDM,NO,HDZ,YES
962,7-12 months,DWC,Recurrent,212,335.03,586.69,94900,0.4581,HDM,YES,HDZ,NO
963,1 - 2 months,DWC,Recurrent,48,27.97,218.43,7627,0.7974,HDM,NO,HDZ,YES
964,More than 12 months,DWC,Recurrent,2,1.59,180.51,259,0.6116,HDM,NO,HDZ,YES
965,3 - 6 months,DWOC,Recurrent,235,140.54,289.15,50586,0.7019,HDM,YES,HDZ,YES
966,1 - 2 months,DWC,Recurrent,2,3.86,688.76,1326,0.6652,LDM,NO,LDZ,YES
967,1 - 2 months,DWC,New,3,2.41,143.38,309,0.5132,HDM,NO,HDZ,YES
968,More than 12 months,DWC,Recurrent,237,167.9,358.7,62443,0.7189,HDM,YES,HDZ,NO
969,3 - 6 months,DWC,Recurrent,119,102.57,327.79,32868,0.7671,LDM,YES,LDZ,NO
